species,sci,lat,lon,month
Demoiselle Crane,Anthropoides virgo,46.077543,43.533943,4
Demoiselle Crane,Anthropoides virgo,47.306641,58.69701,4
Demoiselle Crane,Anthropoides virgo,46.056606,43.566957,4
Demoiselle Crane,Anthropoides virgo,45.861363,43.482808,4
Demoiselle Crane,Anthropoides virgo,49.697781,71.427128,4
Demoiselle Crane,Anthropoides virgo,49.724533,71.169741,4
Demoiselle Crane,Anthropoides virgo,45.922521,43.766284,4
Demoiselle Crane,Anthropoides virgo,43.6286,76.5413,4
Demoiselle Crane,Anthropoides virgo,46.246831,43.20851,4
Demoiselle Crane,Anthropoides virgo,45.970109,43.414736,4
Demoiselle Crane,Anthropoides virgo,50.733719,70.133408,4
Demoiselle Crane,Anthropoides virgo,50.622707,70.558319,4
Demoiselle Crane,Anthropoides virgo,47.290981,58.627674,4
Demoiselle Crane,Anthropoides virgo,46.07744,43.52565,5
Demoiselle Crane,Anthropoides virgo,52.642047,83.041569,5
Demoiselle Crane,Anthropoides virgo,51.299782,45.974849,5
Demoiselle Crane,Anthropoides virgo,44.784307,46.107232,5
Demoiselle Crane,Anthropoides virgo,45.165486,45.462909,5
Demoiselle Crane,Anthropoides virgo,45.706881,45.707467,5
Demoiselle Crane,Anthropoides virgo,53.658258,77.782729,5
Demoiselle Crane,Anthropoides virgo,53.702462,77.78697,5
Demoiselle Crane,Anthropoides virgo,46.083423,43.753965,5
Demoiselle Crane,Anthropoides virgo,51.512492,90.187177,5
Demoiselle Crane,Anthropoides virgo,52.96007,77.431903,5
Demoiselle Crane,Anthropoides virgo,54.465002,72.989282,5
Demoiselle Crane,Anthropoides virgo,52.637637,80.14796,5
Demoiselle Crane,Anthropoides virgo,47.36313,104.042514,5
Demoiselle Crane,Anthropoides virgo,53.173744,78.798444,5
Demoiselle Crane,Anthropoides virgo,54.322003,80.417906,5
Demoiselle Crane,Anthropoides virgo,52.177924,85.627935,5
Demoiselle Crane,Anthropoides virgo,43.632179,76.607512,5
Demoiselle Crane,Anthropoides virgo,44.597551,46.083341,5
Demoiselle Crane,Anthropoides virgo,54.324434,80.430667,5
Demoiselle Crane,Anthropoides virgo,49.987452,88.599871,5
Demoiselle Crane,Anthropoides virgo,45.171174,45.460274,5
Demoiselle Crane,Anthropoides virgo,54.48622,77.284421,5
